"species","mean_percentage","sd_percentage"
"Rhinobatos planiceps",3.13888888888889,2.48624473742547
"Squatina varii",3.12080536912752,1.39342275747155
"Chlamydoselachus anguineus",3.08815426997245,0.364575769369539
"Scyliorhinus ugoi",3.08333333333333,2.70549903493946
"Centrophorus granulosus",3.07975188303057,0.309569946338221
"Squalus clarkae",3.0525641025641,0.550510533898892
"Dipturus teevani",3.03973509933775,0.684441787776119
"Neoraja carolinensis",3.03703703703704,3.54622169299283
"Urogymnus asperrimus",3.02779984114376,0.181740394561382
"Sphyrna tiburo",3.02758620689655,0.483684488080957
"Mustelus sinusmexicanus",3.02127659574468,1.73538327656458
"Rhinoptera bonasus",3.01487778958555,0.535872079715694
"Etmopterus splendidus",3,1.75981295557463
"Anacanthobatis folirostris",3,5.66227465631759
"Himantura schmardae",3,0.481385463457135
"Dasyatis izuensis",3,9.58744970882204
"Hexatrygon bickelli",2.99266177451634,0.362057466704128
"Bathyraja isotrachys",2.99162790697674,0.432842208207971
"Sphyrna lewini",2.98934280639432,0.10306029214278
"Bathyraja tzinovskii",2.98901098901099,1.66824858234733
"Etmopterus robinsi",2.98809523809524,1.62733604049649
"Bathyraja fedorovi",2.98299319727891,0.651947603499066
"Carcharhinus galapagensis",2.97010101010101,0.348634298375513
"Squalus suckleyi",2.95981804397271,0.329003233244638
"Carcharhinus perezi",2.95805871779509,0.356422695587832
"Negaprion brevirostris",2.95223179326547,0.276750596607883
"Dasyatis guttata",2.95217391304348,0.584323249814895
"Cirrhigaleus asper",2.94711538461538,0.892021315705618
"Carcharhinus limbatus",2.93968142422113,0.146500059785482
"Tetronarce tokionis",2.92753623188406,0.67388422805754
"Nebrius ferrugineus",2.91359242454133,0.186558443353688
"Notoraja sapphira",2.91071428571429,1.87639524120486
"Scymnodalatias albicauda",2.90643274853801,0.657462324595
"Hypanus berthalutzae",2.89705882352941,1.10843189966688
"Narcine bancroftii",2.89650145772595,0.59930305317853
"Gymnura micrura",2.89236641221374,0.394628814089799
"Dasyatis colarensis",2.89090909090909,2.32718950723568
"Somniosus antarcticus",2.87648970747562,0.435926825060593
"Dipturus garricki",2.8698224852071,1.05841018374067
"Sphyrna media",2.86443381180223,0.60865808703818
"Urobatis jamaicensis",2.85426356589147,0.652620938612941
"Rhinobatos percellens",2.8296943231441,0.650166528734745
"Bathyraja andriashevi",2.8255033557047,1.2557527801191
"Etmopterus molleri",2.81857585139319,0.3005823824138
"Scyliorhinus cabofriensis",2.8125,3.80794872403089
"Carcharhinus acronotus",2.7956008583691,0.32493527348604
"Mobula kuhlii",2.77262884365526,0.183328667255144
"Squalus acanthias",2.77219338978421,0.238616032706951
"Galeus eastmani",2.75647668393782,1.15008035381376
"Ginglymostoma cirratum",2.72857142857143,0.30195851224777
"Mustelus higmani",2.71580547112462,0.502263500109241
"Galeus arae",2.69847328244275,0.871807254335337
"Squalus formosus",2.69230769230769,3.39198886033922
"Taeniurops meyeni",2.68893166506256,0.170240316274322
"Bathyraja smirnovi",2.68682505399568,0.489560835133189
"Dasyatis marianae",2.68141592920354,1.53770908942807
"Sinobatis borneensis",2.68085106382979,1.3695270314856
"Sphyrna zygaena",2.67958212113198,0.150925152426126
"Mustelus minicanis",2.66666666666667,2.80291655060841
"Bathyraja parmifera",2.66636971046771,0.318073473166619
"Odontaspis ferox",2.65642532727759,0.213909493768487
"Dipturus bullisi",2.65591397849462,1.22699490215231
"Etmopterus hillianus",2.65271966527197,1.0061193192118
"Dipturus leptocaudus",2.65178571428571,1.48242969112051
"Pristiophorus japonicus",2.65144596651446,0.547799983147388
"Dasyatis americana",2.64047619047619,0.515006487239092
"Bathyraja eatonii",2.63071895424837,0.820945087901457
"Bathyraja panthera",2.62637362637363,1.66689535999639
"Bathyraja maculata",2.62573726541555,0.339242825122332
"Bathyraja trachura",2.62105263157895,0.343032391762162
"Okamejei cairae",2.61627906976744,1.45378197645358
